name,symptoms,instructions,effects,side_effects,ingredients,image_path
타이레놀,두통;발열,1회 1~2정씩 1일 3~4회(4-6시간마다) 필요 시 복용,통증 완화;해열,복부불쾌감;구토,아세트아미노펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\타이레놀.png"
이미그란,두통,1회 50mg 복용,전조증상을 수반하거나 수반하지 않는 편두통의 조속한 완화,관상동맥혈관 경련수축 외에 다른 혈관 경련수축을 유발,수마트립탄숙신산염,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\이미그란.png"
아스피린,두통,1회 1정;1일 1회 복용,해열;소염;진통,쇼크;호흡곤란;피부 발진,아스피린(아세틸살리실산)만을 포함하는 단일제,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\아스피린.png"
부스코판 당의정,복통,1회 1~2정 1일 3회 복용,경련 감소 및 통증 완화,시야흐림;어지러움;구강건조,부틸스코폴라민브롬화물,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\부스코판 당의정.png"
제이부틴,복통,1회 1~2정 1일 3회 식전 복용,위장관 운동 조절 및 경련 완화,변비;설사;복명;구역;구토,트리메부틴말레산염, "C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\제이부틴.png"
베아제정,복통,1회 1정 1일 3회 식후 복용,소화촉진;소화불량으로 인한 위부팽만감 완화,복통;설사;위경련,디아스타제;프로테아제;셀룰라제,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\베아제정.png"
카베진 코와 에스정,소화불량,증상 있을 때 2주간 1회 2정씩 3회 복용,위산 조절;속쓰림 완화,우유알칼리증후군 주의;제산 기능 저하,메틸메티오닌설포늄염화물,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\카베진 코와 에스정.png"
훼스탈 플러스,소화불량,1회 1~2정;1일 3회 식후 복용,소화불량 해결;위부팽만 해결,발진;가려움,판크레아틴;셀룰라제;우르소데옥시콜산,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\훼스탈 플러스.png"
메부라틴정,소화불량,1회 100~200mg;1일 3회 식전 복용,식도 역류나 위염 등에 의한 소화장애 증상 완화,변비;설사;구토,트리메부틴 말레산염,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\메부라틴정.png"
원비디,피로,1회 1병;1일 1~2회 복용,자양강장;피로회복,구역;구토;묽은 변,피리독신염산염;구기자유동엑스;인삼유동엑스,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\원비디.png"
진녹천,피로,1회 1병;1일 1회 복용,자양강장;피로회복,구역;구토;묽은 변;발진,피리독신염산염;녹용;니코틴산아미드;리보플라빈포스페이트나트륨,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\진녹천.png"
구론산,피로,1회 1병;1일 1회 복용,자양강장;피로회복;영양 장애 개선,불면증;불안감;가슴 두근거림;복통;설사,피리독신염산염;타우린;티아민질산염,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\구론산.png"
자황,피로,1회 1병;1일 1회 복용,자양강장;허약체질 개선,구역;구토;묽은 변;감각신경병,피리독신염산염;니코틴산아미드;DL-카르니틴염산염,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\자황.png"
판콜에스,감기,1일 3회;1회 30ml 1병 식후 복용,기침;콧물;코막힘 개선,가려움;구토;식욕부진;배뇨장애,아세트아미노펜;구아이페네신,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\판콜에스.png"
콜대원,감기,1일 3회;1회 용량 식후 30분 복용,기침;가래;콧물;코막힘 개선,졸음;기억력 저하;복통;설사,아세트아미노펜;구아이페네신;덱스트로메토르판,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\콜대원.png"
테라플루(나이트타임),감기,1회 1포 240ml의 뜨거운 물에 녹여 10~15분 복용,코막힘;인후통;꽃가루 알레르기 비염 완화,졸음;어지러움;복부팽만,페니라민말레산염;페닐레프린;아세트아미노펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\테라플루(나이트타임).png"
알보칠,구내염,면봉에 약을 적신 후 염증 부위를 반복해 바르기,구내염;치육염 치료,폴리크레줄렌 성분은 산성이 강하기 때문에 치아에 직접적으로 닿았을 때 치아의 법랑질에 손상이 나타날 수 있음,폴리크레줄렌액,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\알보칠.png"
페리덱스,구내염,염증이 생긴 자리에 1일 1회 ~수회 적당량 도포,짓무름;궤양을 수반한 난치성 구내염과 설염의 염증 완화,과민증;빈도 불명의 시야 흐릠,덱사메타손,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\페리덱스.png"
리보테인,구내염,1회 1정 1일 3회 식사 후 복용(아침 2정 저녁1정을 복용해도 무관),구내염;구순염;설염;피부염;습진 등에 도움,복부 팽만감;식욕부진;구역,리보플라빈;피리독신염산염;니코틴산아미드,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\리보테인.png"
탁센 레이디,생리통,1일 1~3회;1회 1~2캡슐 공복 피하여 복용(4시간 간격),다양한 통증 완화;오한 및 발열 개선,발진;발적;가려움,이부프로펜;파마브롬;산화마그네슘,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\탁센 레이디.png"
페인엔젤 레이디,생리통,1일 1~3회;1회 1캡슐 공복 피하여 복용(4시간 간격),인후통;염좌통;골절통 등의 통증 완화,위장장애,이부프로펜;파마브롬,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\페인엔젤 레이디.png"
애드빌,생리통,충분한 물과 함께 4~6시간마다 복용,발열 및 요통;두통;치통 등의 통증 완화,복통 및 속 쓰림과 같은 위장장애,이부프로펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\애드빌.png"
